,Model0,Model1,Model2,Model3,Model4,Model5,Model6,Model7,Model8,Model9
32,-23.74261005,-3.74E+28,5.480375781,267.363213,111.7900987,-18.26311688,1.94E+50,-1.270741148,-12.54231115,-24.84981534
33,31.95450395,4.97E+24,-49.79988551,-79.25900812,-214.2461103,33.3905536,1.56E+51,-27.50210287,21.22534603,87.97527713
34,45.58228689,-8.26E+25,30.28167772,100.0415945,-180.1757557,-37.00668027,1.57E+49,53.502778,-39.04842469,23.39701816
35,231.6011764,-1.21E+22,61.33006624,34.63216303,-1.493964186,-98.91407513,5.39E+51,55.433517,-41.7324166,-5.999412152
36,359.1498909,-1.20E+27,-126.8570707,69.69463067,-5.899471577,-5.609571601,1.79E+46,-0.117514896,28.52118347,8.218173552
37,-2947.251052,2.43E+26,-60.02664044,54.2547569,-49.05622427,197.3629727,4.43E+48,-10.84960728,12.27974372,26.76861744
38,-343.8280729,1.23E+24,46.10900643,141.0102199,-43.89207576,88.47767812,-2.44E+49,43.83383593,168.5893951,-38.87481819
39,31.11855404,-3.99E+26,81.26003326,-234.1239879,46.63664844,12.51779367,-8.69E+47,-3.067638966,26.25658352,2.874841616
40,-251.3314237,-2.28E+25,-6.968048994,-383.0925583,-82.41655261,45.31144676,1.18E+46,18.18732048,24.97153363,-36.5506167
41,-4.07770866,-9.91E+26,114.3778854,-224.594538,25.00640019,104.6179448,2.22E+52,-3.197608833,-5.213023821,-2.251831831
42,199.6212044,2.65E+25,-90.92408546,119.9937829,2.982395137,-61.88366135,-5.36E+48,-2.853047061,-73.33667417,74.09744091
43,860.4409342,8.61E+23,-27.36735024,50.29524747,-90.58393928,34.6462315,-9.56E+49,-25.53054721,-20.0577592,-0.077974233
44,-305.1244545,5.36E+25,36.39009107,108.0111057,-50.52600012,30.61589615,5.43E+48,58.65504852,0.343318115,8.932896726
45,-176.6405364,1.47E+24,-31.26914476,134.5032012,82.4820697,-141.6125748,-4.26E+50,-24.27797801,-28.5988873,11.61151114
46,5.420784987,-5.17E+22,14.74747585,187.6544532,-13.46755334,73.08352491,-1.02E+53,72.90836384,17.51644939,-24.82512078
47,69.35697776,3.15E+26,-86.08086339,-125.0724749,-119.9819072,82.22756974,-9.00E+47,-5.581504492,-11.07233174,6.614051422
48,408.9806875,1.34E+24,-37.81540209,-62.28986021,28.39427607,401.0183704,5.49E+49,-2.406011724,-56.29641663,32.99614011
49,216.5566654,-5.02E+25,-41.59708915,-133.0547675,97.62299078,91.70140606,-3.99E+51,-47.88963387,-17.40469559,5.218411749
50,146.6278494,-2.71E+26,2.121448972,-156.1890122,-63.84301247,70.67132909,1.38E+49,11.54370364,-52.38638443,66.70794417
51,-166.261172,1.84E+27,-22.51866514,25.58615201,56.23528805,61.26402317,5.34E+49,-13.26723759,90.24029658,-32.2187314
52,159.8763727,-1.21E+26,-90.56606231,115.3465302,75.41504928,40.89525813,-4.65E+48,-8.019478708,75.59957307,14.89882344
53,-123.019536,8.21E+25,47.13096269,103.0589759,41.26227386,-28.59722322,-1.50E+52,-23.26739854,-2.709942795,23.0167445
54,173.8977886,-1.61E+27,-87.6121055,47.87602238,-195.9279999,166.8999644,1.79E+49,26.66307638,14.02941774,-52.74269689
55,-218.3937123,3.37E+26,13.02034077,-90.52479098,-60.29874011,-21.07824113,2.49E+51,0.774207503,-76.88367473,-26.62659215
56,55.54209562,-1.44E+26,31.6259846,-100.8438194,-42.40022118,-55.22138392,4.25E+49,-10.16777258,-2.848250726,21.19850308
57,63.4858222,3.39E+25,-40.29332141,7.82400235,-104.6482359,545.2272175,-5.17E+51,-0.309212759,83.41846008,1.010075262
58,34.62554052,-1.53E+24,60.1468418,131.8215506,95.40204832,-0.5284471,4.49E+46,-12.65769783,12.96133602,-141.0957139
59,-120.4326826,-3.64E+23,-66.71043101,41.27223769,27.94077777,-253.5759919,-3.49E+46,36.04239043,-13.07984023,-11.1098659
60,-271.9838171,-1.34E+24,-33.52041451,-238.6144958,-109.9508726,7.552857199,-4.53E+47,-36.62207365,-6.458663257,11.89288431
61,-74.53059552,-9.43E+26,32.30370246,-278.451987,-74.05394726,-66.23406976,3.39E+49,-3.214707704,-50.87176573,87.89407873
62,60.45330934,1.37E+28,46.77791646,304.8244767,-62.57503054,-29.81896848,1.11E+51,-4.444750242,-24.26992566,-39.09434297
63,96.17282079,-2.44E+24,56.16464804,393.0099721,-191.5331004,-9.817224388,3.22E+43,3.200414372,27.69354138,38.04505964
64,-263.7056216,8.35E+24,-38.76924188,206.3917855,-54.51571209,-76.73414169,-4.08E+52,7.450006801,7.636874754,19.89407333
65,-183.7106291,-2.64E+24,-8.332504256,176.4685468,-141.4490865,-195.9705151,1.47E+49,8.591900611,-25.95457803,-100.2379513
66,-174.4135601,3.86E+24,-39.90106074,568.2476867,50.46530261,50.77846034,1.25E+48,35.97641781,-24.38412563,-49.93362146
67,72.91654769,-1.97E+27,-38.75249188,2.863418771,142.4750824,-109.1792031,3.50E+50,60.40274059,33.47393785,108.1841028
68,57.50821713,1.54E+26,-46.39496202,-20.29031447,74.40406271,-0.155828078,-2.49E+52,66.94998154,55.75186177,21.70285768
69,106.6146329,-2.98E+26,-76.23893818,-135.6235993,-86.70594323,-68.928399,-3.29E+49,-9.56197198,-105.7551939,-30.97834448
70,83.33093584,-1.61E+28,-31.42966149,226.9969231,57.16943878,-54.62357035,2.06E+50,-8.862476741,-61.87370786,-42.51630549
71,-92.55493502,1.84E+27,18.74377873,-582.4175302,40.50422115,-19.53355899,1.71E+49,-23.5950286,-17.66214251,25.519647
72,-234.5681965,5.81E+23,-9.103892672,61.37704715,5.19398577,-122.5778439,-2.02E+53,-4.802438308,-54.08471822,37.08737701
73,-129.0751405,-6.01E+26,19.44731601,-49.36009215,11.91189313,28.97431389,-7.82E+48,-18.94971189,-96.15129972,31.4814878
74,60.60487738,6.41E+26,9.753732145,128.9996959,-85.02768688,21.29746203,2.68E+47,-43.94917945,74.30158794,-69.72479906
75,-197.260834,-4.17E+28,-19.0529454,1473.12563,-135.7260081,-50.1241453,2.00E+48,25.38013908,-29.9738987,-2.943304859
76,-37.54108086,3.48E+21,45.56460394,276.4799144,-33.84119528,-33.10482695,-1.01E+51,11.37752438,-24.4362212,-103.1421118
77,-56.82534089,-2.27E+26,13.53963452,125.0550106,-15.84500009,-221.5276829,7.92E+46,-46.92349075,22.82889114,-203.7387898
78,29.85567686,4.49E+26,98.40439599,0.333465086,109.9122103,25.82328164,3.01E+48,53.083778,36.13815235,39.71776575
79,16.75253468,1.95E+22,-29.79944728,153.0611797,75.01670349,87.03962499,-4.44E+48,-21.68601728,-37.41324743,58.51853863
80,233.368592,-1.96E+22,-36.53928996,-154.3413702,-41.13578895,-1.05500342,2.12E+52,20.09644593,-36.20867581,48.19661897
81,519.0273052,-4.24E+23,4.553926733,252.8797091,-138.5158513,-267.9673041,1.83E+47,-1.53682649,-7.113644842,2.109017792
82,61.16958236,-1.88E+24,-37.55223414,-64.91474845,-30.90172858,190.6924902,2.06E+51,51.04368633,1.308022347,-24.48961502
83,-84.3021104,-3.62E+25,15.17808705,-163.3851928,6.1893865,81.94059506,-3.84E+50,-55.14199753,-61.95542185,37.42011435
84,-226.0932684,5.64E+24,15.00833842,-72.10542828,69.59284832,-63.0411942,3.52E+45,10.87424266,30.39024646,69.6258119
85,389.0600721,-3.37E+26,76.63703966,-194.3566801,42.47274984,-13.54802995,-2.23E+49,-12.5595065,-22.84384026,71.33043215
86,-419.60932,7.75E+26,-69.54491662,-113.312534,46.19431942,41.71430663,1.78E+45,-44.8599299,-13.57335749,-62.39872583
87,-349.1260987,1.35E+25,25.60145514,208.0907382,-155.9610919,-585.4685067,-1.74E+47,-5.328643452,18.99286605,-3.055380159
88,26.46431524,2.06E+24,-38.39429378,40.42094415,44.51952014,-33.42300537,3.30E+50,62.36446076,-6.782887975,-49.91872722
89,-317.1759572,-1.78E+24,-6.900278971,234.2870516,-45.13172297,-24.41890801,-4.89E+52,-9.267031241,78.65819376,-27.46284308
